Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bangladesh,BGD,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,21.37970843,20.70642323,24.21142072,25.44941545,24.68487268,27.4255112,27.29295886,28.23405541,29.42090283,32.14606925,32.71261599,34.96024073,33.38567736,34.91556523,37.32672746,39.08684745,43.8731951,44.18503533,45.0727052,45.52428698,44.67103918,46.72802762,49.45684214,50.25109694,54.40918593,56.07741741,56.57335085,57.62886784,57.27512604,57.94291987,60.7230371,61.04664093,62.3942704,62.48464734,63.34035291,65.33087795,66.41712545,67.58003802,69.00602698,70.96940448,71.64883909,72.68378039,72.86167193,73.76893795,,,,,,,
South Africa,ZAF,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,89.63653785,89.17889814,89.42289398,89.1592604,88.77912328,89.22440371,89.02464697,89.06793066,88.73553321,89.02954741,89.88170228,90.50629182,90.2656956,89.34912924,88.77537664,88.04374173,88.55550626,87.16735249,85.75874843,86.15600715,86.27079087,85.15415756,86.6501108,86.15283213,86.30137004,84.99355588,84.90715771,84.45705296,84.65273181,84.24342648,85.6780845,84.89834277,86.02328015,86.99483553,87.15671805,87.11379816,87.71745546,88.14866881,87.67566973,87.46124141,87.03964201,87.15523381,86.57530458,86.79143169,,,,,,,
Qatar,QAT,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,100,,,99.99991876,100,,,100,,100,,100,100,100,,,,,,,99.99998615,99.99998676,99.99998724,,100,,99.99999017,100,99.99999116,99.99999084,99.99999171,,,100,100,,100,99.9999956,100,,,,100,99.99502672,,,,,,,
Germany,DEU,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,99.02015892,99.04098584,99.19266889,99.30220699,99.39761102,99.10230936,98.8661359,98.77118597,98.78219798,98.63853601,97.86699031,98.05888165,97.65361239,97.62143893,97.1826929,96.22976002,96.33004313,95.20012737,95.1884251,94.83350375,94.09208559,92.97445558,91.96987316,91.65331348,90.06462342,87.92519035,88.65357083,87.90540584,86.91009483,86.45118434,86.83788464,87.09636477,85.95284872,86.00930916,86.02180942,85.81095471,85.90869753,84.62946066,84.92246199,83.93137164,83.62197514,83.60503302,83.27815679,83.18231409,82.56602162,81.85567627,81.27188318,81.27195016,80.80225178,79.96746885,79.56035026,80.37020876,80.62522298,81.08826801,79.71052694,78.86255106,,,,,,
