Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Benin,BEN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,4115.23127,,,,,3765.572287,,,,,3384.191489,,,,,2999.90243,,,,,2622.388527,,,,,2271.092607,,,,,1931.803582,,,,,1639.698143,,,,,1411.848562,,,,,1218.244333,,,,,1058.662874,,,,,921.6843881,896.8192086,,,
Burkina Faso,BFA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,2519.994646,,,,,2339.498692,,,,,2145.858647,,,,,1953.450677,,,,,1746.234664,,,,,1535.611444,,,,,1344.50383,,,,,1171.997474,,,,,1016.830828,,,,,877.0681003,,,,,754.3183822,,,,,651.271104,632.8644162,,,
Bangladesh,BGD,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,2068.87787,,,,,1778.628508,,,,,1575.968291,,,,,1429.279398,,,,,1251.010757,,,,,1097.509439,,,,,972.3689059,,,,,873.8307344,,,,,792.5839684,,,,,736.013736,,,,,695.3378386,,,,,657.5428072,650.6514977,,,
Bulgaria,BGR,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,2620.758957,,,,,2527.007087,,,,,2448.636925,,,,,2385.229839,,,,,2354.931456,,,,,2340.782483,,,,,2458.969172,,,,,2526.447089,,,,,2679.541737,,,,,2783.175518,,,,,2874.393914,,,,,2967.800635,2989.308099,,,
Bahrain,BHR,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,23.10269146,,,,,20.40191778,,,,,17.45573879,,,,,13.19396112,,,,,10.36395623,,,,,8.909062967,,,,,7.646984603,,,,,6.723513977,,,,,5.441140463,,,,,3.861287121,,,,,3.077060361,,,,,2.677238188,2.548679784,,,
"Bahamas, The",BHS,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,5780.728702,,,,,4586.52479,,,,,3935.613365,,,,,3551.496702,,,,,3179.188126,,,,,2877.5204,,,,,2631.301968,,,,,2435.943389,,,,,2275.261086,,,,,2074.768737,,,,,1925.293126,,,,,1833.665576,1815.187937,,,
Bosnia and Herzegovina,BIH,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8385.153979,,,,,9501.963293,,,,,9443.023853,,,,,9434.486263,,,,,9847.510605,,,,,10592.16466,10680.13186,,,
Belarus,BLR,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3327.959657,,,,,3360.536215,,,,,3446.336686,,,,,3556.130859,,,,,3599.088626,,,,,3594.464482,3602.158541,,,
Belize,BLZ,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,156686.3808,,,,,135395.3171,,,,,120013.8417,,,,,111394.9923,,,,,100735.3815,,,,,87533.62817,,,,,78528.64289,,,,,68870.58558,,,,,58158.36913,,,,,51031.49841,,,,,45147.79542,,,,,40609.40723,39835.9573,,,
Bermuda,BMU,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
