Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
孟加拉国,BGD,总失业人数（占劳动力总数的比例）（模拟劳工组织估计）,SL.UEM.TOTL.ZS,2.200000048,2.332999945,2.355999947,2.375999928,2.482000113,2.50999999,2.687000036,2.900000095,3.055000067,3.269999981,3.617000103,3.898000002,4.320000172,4.261000156,4.25,3.589999914,4.126999855,4.566999912,5,3.380000114,3.770999908,4.118999958,4.429999828,4.383999825,4.366000175,4.349999905,4.369999886,4.413000107,4.438000202,5.413000107,5.229000092
南非,ZAF,总失业人数（占劳动力总数的比例）（模拟劳工组织估计）,SL.UEM.TOTL.ZS,29.95499992,29.97999954,29.92200089,29.88899994,29.8939991,29.87400055,29.90699959,29.9470005,29.91300011,29.87999916,30.69000053,33.29000092,32.31000137,29.45000076,29.12000084,28.34000015,26.54000092,22.40999985,23.52000046,24.68000031,24.63999939,24.72999954,24.55999947,24.88999939,25.14999962,26.54000092,27.04000092,26.90999985,28.46999931,29.21999931,33.55899811
德国,DEU,总失业人数（占劳动力总数的比例）（模拟劳工组织估计）,SL.UEM.TOTL.ZS,5.320000172,6.320000172,7.679999828,8.729999542,8.159999847,8.819999695,9.859999657,9.789999962,8.859999657,7.920000076,7.769999981,8.479999542,9.779999733,10.72999954,11.17000008,10.25,8.659999847,7.519999981,7.739999771,6.96999979,5.820000172,5.380000114,5.230000019,4.980000019,4.619999886,4.119999886,3.75,3.380000114,3.140000105,3.809999943,3.535000086
卡塔尔,QAT,总失业人数（占劳动力总数的比例）（模拟劳工组织估计）,SL.UEM.TOTL.ZS,0.806999981,0.81099999,0.81400001,0.818000019,0.822000027,0.825999975,0.829999983,0.833999991,0.838,0.842000008,0.846000016,0.851000011,0.856000006,0.860000014,0.86500001,0.870000005,0.519999981,0.310000002,0.310000002,0.449999988,0.560000002,0.479999989,0.280000001,0.200000003,0.170000002,0.150000006,0.140000001,0.109999999,0.100000001,0.214000002,0.257999986
