Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bangladesh,BGD,Agricultural land (% of land area),AG.LND.AGRI.ZS,,72.82784052,72.80479373,72.82784052,73.13513098,74.0339556,74.133825,74.47952677,74.27978797,74.32588154,74.4948913,74.47952677,76.75347622,76.7381117,76.7381117,76.85334562,76.80725206,76.75347622,76.72274718,76.69201813,76.72274718,76.67665361,76.65360682,76.54605516,77.28355228,77.03003764,77.13758931,77.70607667,80.10294231,80.22585849,79.78796958,79.28094031,73.35791657,72.56664362,71.89060459,72.01352078,71.65245448,71.94438043,72.47445648,72.87393409,72.21325958,72.23630637,71.85219329,71.66013674,71.62172544,71.5295383,71.29138818,71.18383652,71.08396712,71.03019129,70.99177998,70.12368441,70.0852731,71.27602366,71.56026734,72.39947761,72.99846355,73.29899362,73.76738112,75.63186602,76.06207267,
South Africa,ZAF,Agricultural land (% of land area),AG.LND.AGRI.ZS,,83.53460996,82.54540059,81.60565168,80.57934696,79.63959805,79.4862706,79.25875244,79.07657305,78.88615024,78.69572744,78.50530464,78.31900354,78.12445903,77.94640134,77.73949171,77.5449472,77.53587945,77.54329852,77.53423077,77.53340642,77.52433867,77.51527092,77.51527092,77.51527092,77.51527092,77.81780412,78.02388941,78.22997469,78.55971115,78.80701349,79.14087166,79.52666331,79.90833326,80.1795415,80.38974849,80.69475472,80.74009348,80.77554015,80.83324403,80.88847489,80.79614868,80.8085138,80.72607968,80.46229051,80.35924787,79.86876489,79.87041357,80.05011994,79.951199,79.87123791,79.44505354,79.41785028,79.41785028,79.41785028,79.41785028,79.41785028,79.41785028,79.41785028,79.41785028,79.41785028,
Qatar,QAT,Agricultural land (% of land area),AG.LND.AGRI.ZS,,4.392764858,4.392764858,4.392764858,4.392764858,4.392764858,4.392764858,4.392764858,4.392764858,4.392764858,4.392764858,4.392764858,4.392764858,4.392764858,4.478897502,4.478897502,4.478897502,4.478897502,4.478897502,4.565030146,4.737295435,4.823428079,4.909560724,4.995693368,5.081826012,5.081826012,5.167958656,5.254091301,5.254091301,5.167958656,5.254091301,5.254091301,5.512489233,5.598621878,5.598621878,5.598621878,5.684754522,5.684754522,5.684754522,5.684754522,5.684754522,5.710594315,5.658914729,5.701981051,5.615848407,5.56416882,5.624461671,5.684754522,5.745047373,5.805340224,5.865633075,5.925925926,5.986218777,6.046511628,6.179286336,6.179286336,6.179286336,6.266318538,6.440382942,6.440382942,6.440382942,
Germany,DEU,Agricultural land (% of land area),AG.LND.AGRI.ZS,,55.49508779,55.54664452,55.57242288,55.73282159,55.95050554,55.94191275,55.60106551,55.23730416,55.14851202,54.48686736,54.28350471,54.27491192,54.12597027,53.90828631,53.8252227,53.72783777,53.5874889,53.44427577,53.2580987,53.04327901,52.87715178,52.69097471,52.50193338,52.3701773,52.25560679,52.15249334,51.91475955,51.83456019,51.71712543,51.64838312,49.08200384,48.55211526,49.15788268,49.57749706,49.67917502,49.66341058,49.64045266,49.77651711,49.14894836,48.91245164,48.82201204,48.63555581,48.74000172,48.77999828,48.83300837,48.59486121,48.61330198,48.53569687,48.43808267,47.91003242,47.96591692,47.81086819,47.85886265,47.93637145,47.95906667,47.68433707,47.76311647,47.64153644,47.70027763,47.49706632,
,,,,,-0.000316456,0.000316556,0.004219409,0.012289916,0.001348967,0.004663212,-0.002681795,0.00062054,0.002273902,-0.000206249,0.030531202,-0.00020018,0,0.001501652,-0.00059976,-0.00070014,-0.00040036,-0.000400521,0.000400681,-0.000600781,-0.000300571,-0.001403087,0.009634685,-0.003280318,0.00139623,0.007369784,0.030845279,0.001534478,-0.005458202,-0.006354708,-0.074709302,-0.01078647,-0.009316113,0.001709767,-0.005013868,0.004074193,0.007367859,0.005511978,-0.009065992,0.000319149,-0.005317452,-0.002672939,-0.00053602,-0.001287139,-0.003329395,-0.001508621,-0.001402979,-0.000756511,-0.000540774,-0.012228114,-0.000547765,0.016990025,0.003987928,0.011727322,0.008273346,0.004116937,0.006390095,0.025275194,0.005688167,-1,
,,,,,-0.01184191,-0.011384631,-0.012576393,-0.011662404,-0.001925266,-0.002862358,-0.00229854,-0.002408081,-0.002413894,-0.002419735,-0.002373102,-0.002484001,-0.002279154,-0.002654512,-0.002502518,-0.000116935,9.56856E-05,-0.000116938,-1.06321E-05,-0.000116953,-0.000116966,0,0,0,0.003902885,0.002648305,0.00264131,0.004214963,0.003147954,0.004236402,0.004874746,0.00479927,0.003393992,0.002621704,0.003794094,0.000561855,0.000439022,0.000714373,0.000683269,-0.001141401,0.000153041,-0.001020117,-0.003267707,-0.001280633,-0.006103628,2.06424E-05,0.002249974,-0.001235738,-0.001000124,-0.005335893,-0.000342416,0,0,0,0,0,0,0,0,-1,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.019607843,0,0,0,0,0.019230769,0.037735849,0.018181818,0.017857143,0.01754386,0.017241379,0,0.016949152,0.016666667,0,-0.016393443,0.016666667,0,0.049180328,0.015625,0,0,0.015384615,0,0,0,0,0.004545454,-0.009049774,0.00761035,-0.01510574,-0.009202454,0.010835913,0.010719755,0.010606061,0.010494753,0.010385757,0.010279001,0.010174419,0.010071942,0.021958894,0,0,0.014084507,0.027777778,0,0,-1,
,,,,,0.000929032,0.000464085,0.0028863,0.003905848,-0.000153578,-0.006092878,-0.006542345,-0.001607467,-0.011997507,-0.003732324,-0.000158295,-0.002744208,-0.004021802,-0.001540832,-0.001809281,-0.002612219,-0.002672511,-0.003483574,-0.004033559,-0.003131919,-0.003520936,-0.003587736,-0.002509547,-0.002187705,-0.001973251,-0.004558436,-0.001544828,-0.002265569,-0.001329198,-0.049689441,-0.010795985,0.012476643,0.008536055,0.002050889,-0.000317325,-0.00046227,0.002740999,-0.012607727,-0.004811837,-0.00184901,-0.003819102,0.002147522,0.000820611,0.001086718,-0.004876766,0.00037948,-0.001596376,-0.002011184,-0.010901551,0.001166447,-0.003232477,0.00100384,0.001619529,0.000473445,-0.005728418,0.001652102,-0.002545479,0.001232983,-0.00426017,-1,
